"presenca" "NM_MUNICIP" "lat" "lon"
"1" "Present" "UBERLÂNDIA" -19.10686 -48.53906
"2" "Absent" "MONTE ALEGRE DE MINAS" -19.02092 -49.0143
"3" "Absent" "MONTE ALEGRE DE MINAS" -19.01961 -49.0046
"4" "Absent" "MONTE ALEGRE DE MINAS" -19.01283 -48.9612
"5" "Absent" "MONTE ALEGRE DE MINAS" -19.01011 -48.9459
"6" "Absent" "MONTE ALEGRE DE MINAS" -18.97961 -49.0236
"7" "Absent" "MONTE ALEGRE DE MINAS" -18.97111 -48.83694
"8" "Absent" "MONTE ALEGRE DE MINAS" -18.9603 -48.71972
"9" "Absent" "MONTE ALEGRE DE MINAS" -18.93647 -48.7904
"10" "Absent" "MONTE ALEGRE DE MINAS" -18.92411 -49.0713
"11" "Absent" "MONTE ALEGRE DE MINAS" -18.9225 -48.9622
"12" "Absent" "MONTE ALEGRE DE MINAS" -18.88781 -48.9645
"13" "Absent" "MONTE ALEGRE DE MINAS" -18.88703 -49.0053
"14" "Absent" "MONTE ALEGRE DE MINAS" -18.88617 -48.9654
"15" "Absent" "MONTE ALEGRE DE MINAS" -18.88147 -49.0713
"16" "Absent" "MONTE ALEGRE DE MINAS" -18.8794 -49.0056
"17" "Absent" "MONTE ALEGRE DE MINAS" -18.8794 -49.0056
"18" "Absent" "MONTE ALEGRE DE MINAS" -18.87733 -48.9998
"19" "Absent" "MONTE ALEGRE DE MINAS" -18.8764 -48.9194
"20" "Absent" "MONTE ALEGRE DE MINAS" -18.87581 -48.9024
"21" "Absent" "MONTE ALEGRE DE MINAS" -18.87539 -49.1148
"22" "Absent" "MONTE ALEGRE DE MINAS" -18.86753 -48.9998
"23" "Absent" "MONTE ALEGRE DE MINAS" -18.8675 -48.9997
"24" "Absent" "MONTE ALEGRE DE MINAS" -18.84769 -49.0906
"25" "Absent" "MONTE ALEGRE DE MINAS" -18.81992 -49.0059
"26" "Absent" "MONTE ALEGRE DE MINAS" -18.81992 -49.0856
